abn,company_name,company_type,abn_status,gst_status,postcode,state
51000443836,"ROUGON-QUEYREL PTY LTD",PRV,CAN,CAN,2073,NSW
51000449954,"CLYNE CARPENTRY SERVICES PTY LIMITED",PRV,CAN,CAN,2086,NSW
